,date,post_count_anger,post_count_disgust,post_count_fear,post_count_joy,post_count_neutral,post_count_sadness,post_count_surprise,score_anger,score_disgust,score_fear,score_joy,score_neutral,score_sadness,score_surprise,close
111,2022-06-13,44.0,2.0,106.0,302.0,476.0,229.0,329.0,1600.0,10.0,1389.0,6495.0,2585.0,4920.0,2604.0,103.6699982
112,2022-06-14,47.0,3.0,129.0,297.0,395.0,202.0,286.0,3113.0,7.0,1975.0,3341.0,1501.0,9768.0,6670.0,102.3099976
113,2022-06-15,57.0,1.0,88.0,315.0,353.0,178.0,317.0,12155.0,0.0,670.0,2876.0,1645.0,1039.0,4379.0,107.6699982
114,2022-06-16,83.0,3.0,91.0,250.0,353.0,201.0,281.0,6225.0,63.0,677.0,3174.0,2010.0,1047.0,3080.0,103.6600037
115,2022-06-17,60.0,1.0,104.0,526.0,406.0,225.0,276.0,5204.0,1.0,1547.0,4467.0,2425.0,1637.0,6875.0,106.2200012
116,2022-06-21,50.0,2.0,98.0,333.0,389.0,214.0,295.0,2456.0,100.0,9718.0,4439.0,1718.0,2733.0,2596.0,108.6800003
117,2022-06-22,52.0,2.0,123.0,318.0,420.0,190.0,295.0,877.0,3.0,1909.0,4378.0,6617.0,1437.0,7648.0,108.9499969
118,2022-06-23,50.0,1.0,103.0,315.0,417.0,175.0,292.0,257.0,93.0,635.0,3266.0,1609.0,1807.0,5269.0,112.4400024
119,2022-06-24,68.0,2.0,91.0,290.0,334.0,163.0,274.0,25049.0,17.0,797.0,2947.0,2449.0,1088.0,2847.0,116.4599991
120,2022-06-27,60.0,1.0,95.0,293.0,431.0,206.0,302.0,1656.0,1.0,6288.0,4910.0,9739.0,2360.0,2640.0,113.2200012
121,2022-06-28,67.0,2.0,75.0,271.0,428.0,182.0,270.0,1697.0,10.0,483.0,3420.0,3919.0,2117.0,2637.0,107.4000015
122,2022-06-29,66.0,3.0,77.0,277.0,422.0,174.0,282.0,3937.0,23.0,891.0,3689.0,2728.0,1313.0,10530.0,108.9199982
123,2022-06-30,59.0,3.0,96.0,315.0,386.0,197.0,303.0,884.0,11.0,2445.0,3697.0,2632.0,2435.0,10673.0,106.2099991
124,2022-07-01,57.0,1.0,76.0,251.0,336.0,188.0,277.0,535.0,18.0,4240.0,3041.0,2361.0,1010.0,3813.0,109.5599976
125,2022-07-05,54.0,2.0,115.0,309.0,390.0,178.0,308.0,1246.0,7.0,2356.0,5315.0,1879.0,2155.0,7173.0,113.5
126,2022-07-06,67.0,3.0,118.0,290.0,377.0,211.0,319.0,5106.0,5.0,3289.0,2484.0,6750.0,3688.0,3600.0,114.3300018
127,2022-07-07,55.0,2.0,86.0,254.0,416.0,178.0,308.0,517.0,6.0,3082.0,23910.0,2385.0,1498.0,2150.0,116.3300018
128,2022-07-08,47.0,3.0,95.0,285.0,405.0,180.0,310.0,898.0,1.0,864.0,4731.0,2213.0,1920.0,2316.0,115.5400009
129,2022-07-11,67.0,0.0,99.0,329.0,513.0,196.0,355.0,1202.0,0.0,454.0,6525.0,3210.0,2820.0,4912.0,111.75
130,2022-07-12,71.0,4.0,132.0,450.0,660.0,278.0,484.0,1969.0,20.0,944.0,5178.0,4382.0,1766.0,33139.0,109.2200012
